96, 3.20. 00시 기준 1.3 이후 누계,충남,119,(+1),http://ncov.mohw.go.kr/,2020-03-20 오전 10:47:11
97, 3.20. 00시 기준 1.3 이후 누계,전북,10,0,http://ncov.mohw.go.kr/,2020-03-20 오전 10:47:13
98, 3.20. 00시 기준 1.3 이후 누계,전남,5,0,http://ncov.mohw.go.kr/,2020-03-20 오전 10:47:16
99, 3.20. 00시 기준 1.3 이후 누계,경북,"1,203",(+13),http://ncov.mohw.go.kr/,2020-03-20 오전 10:47:18
100, 3.20. 00시 기준 1.3 이후 누계,경남,87,(+1),http://ncov.mohw.go.kr/,2020-03-20 오전 10:47:20
101, 3.21. 00시 기준 1.3 이후 누계,서울,314,(+15),http://ncov.mohw.go.kr/,2020-03-21 오전 11:46:48
102, 3.21. 00시 기준 1.3 이후 누계,부산,108,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:46:50
103, 3.21. 00시 기준 1.3 이후 누계,대구,"6,344",(+69),http://ncov.mohw.go.kr/,2020-03-21 오전 11:46:53
104, 3.21. 00시 기준 1.3 이후 누계,인천,40,(+4),http://ncov.mohw.go.kr/,2020-03-21 오전 11:46:54
105, 3.21. 00시 기준 1.3 이후 누계,광주,18,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:46:56
106, 3.21. 00시 기준 1.3 이후 누계,대전,22,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:46:58
107, 3.21. 00시 기준 1.3 이후 누계,울산,36,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:00
108, 3.21. 00시 기준 1.3 이후 누계,세종,41,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:02
109, 3.21. 00시 기준 1.3 이후 누계,경기,321,(+12),http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:03
110, 3.21. 00시 기준 1.3 이후 누계,강원,30,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:05
111, 3.21. 00시 기준 1.3 이후 누계,충북,34,(+1),http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:07
112, 3.21. 00시 기준 1.3 이후 누계,충남,119,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:09
113, 3.21. 00시 기준 1.3 이후 누계,전북,10,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:11
114, 3.21. 00시 기준 1.3 이후 누계,전남,5,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:13
115, 3.21. 00시 기준 1.3 이후 누계,경북,"1,243",(+40),http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:15
116, 3.21. 00시 기준 1.3 이후 누계,경남,87,0,http://ncov.mohw.go.kr/,2020-03-21 오전 11:47:17
117, 3.22. 00시 기준 1.3 이후 누계,서울,324,(+10),http://ncov.mohw.go.kr/,2020-03-22 오전 10:46:51
118, 3.22. 00시 기준 1.3 이후 누계,부산,108,0,http://ncov.mohw.go.kr/,2020-03-22 오전 10:46:53
119, 3.22. 00시 기준 1.3 이후 누계,대구,"6,387",(+43),http://ncov.mohw.go.kr/,2020-03-22 오전 10:46:55
120, 3.22. 00시 기준 1.3 이후 누계,인천,40,0,http://ncov.mohw.go.kr/,2020-03-22 오전 10:46:57
121, 3.22. 00시 기준 1.3 이후 누계,광주,19,(+1),http://ncov.mohw.go.kr/,2020-03-22 오전 10:46:59
122, 3.22. 00시 기준 1.3 이후 누계,대전,24,(+2),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:02
123, 3.22. 00시 기준 1.3 이후 누계,울산,36,0,http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:04
124, 3.22. 00시 기준 1.3 이후 누계,세종,41,0,http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:06
